"game","language","name","setCode","reason"
"POKEMON","ja","sJ: Zacian & Zamazenta vs Eternatus Special Deck Set","sJ","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","s8a-P: Promo Card Pack 25th Anniversary Edition","s8a-P","no_jp_set_logo_mapping"
"POKEMON","ja","s8a-P: Promo Card Pack 25th Anniversary Edition","s8a-P","no_jp_set_logo_mapping"
"POKEMON","ja","sp5: V-UNION Special Card Sets","sp5","no_jp_set_logo_mapping"
"POKEMON","ja","SS: Gengar VMAX High-Class Deck","sGG","no_jp_set_logo_mapping"
"POKEMON","ja","SS: Inteleon VMAX High-Class Deck","sGI","no_jp_set_logo_mapping"
"POKEMON","ja","S6K: Jet-Black Spirit","S6K","no_jp_set_logo_mapping"
"POKEMON","ja","SS: Silver Lance & Jet-Black Spirit Jumbo Pack Set","sp3","no_jp_set_logo_mapping"
"POKEMON","ja","sF: Single Strike & Rapid Strike Premium Trainer Boxes","sF","no_jp_set_logo_mapping"
"POKEMON","ja","sC2: Charizard Starter Set VMAX 2","sC2","no_jp_set_logo_mapping"
"POKEMON","ja","sEF: Venusaur Starter Set VMAX","sEF","no_jp_set_logo_mapping"
"POKEMON","ja","sEK: Blastoise Starter Set VMAX","sEK","no_jp_set_logo_mapping"
"POKEMON","ja","sD: V Starter Decks","sD","no_jp_set_logo_mapping"
"POKEMON","ja","sC: Charizard Starter Set VMAX","sC","no_jp_set_logo_mapping"
"POKEMON","ja","sC: Grimmsnarl Starter Set VMAX","sC","no_jp_set_logo_mapping"
"POKEMON","ja","sp1: Zacian + Zamazenta Box","sp1","no_jp_set_logo_mapping"
"POKEMON","ja","sA: Fighting Starter Set V","sA","no_jp_set_logo_mapping"
"POKEMON","ja","sA: Fire Starter Set V","sA","no_jp_set_logo_mapping"
"POKEMON","ja","sA: Grass Starter Set V","sA","no_jp_set_logo_mapping"
"POKEMON","ja","sA: Lightning Starter Set V","sA","no_jp_set_logo_mapping"
"POKEMON","ja","sA: Water Starter Set V","sA","no_jp_set_logo_mapping"
"POKEMON","ja","BW: Extra Regulation Box","BW","no_jp_set_logo_mapping"
"POKEMON","ja","smM: Tag Team GX Starter Sets","smM","no_jp_set_logo_mapping"
"POKEMON","ja","smL: Sun & Moon Family Pokemon Card Game","smL","no_jp_set_logo_mapping"
"POKEMON","ja","smN: Tag Team GX Deck Build Box","smN","no_jp_set_logo_mapping"
"POKEMON","ja","smK: Trainer Battle Decks","smK","no_jp_set_logo_mapping"
"POKEMON","ja","smJ: Tag Team GX Premium Trainer Box","smJ","no_jp_set_logo_mapping"
"POKEMON","ja","smI: Flareon-GX, Vaporeon-GX & Jolteon-GX Starter Sets","smI","no_jp_set_logo_mapping"
"POKEMON","ja","smH: GX Starter Decks","smH","no_jp_set_logo_mapping"
"POKEMON","ja","smG: Ultra Sun & Ultra Moon Deck Build Boxes","smG","no_jp_set_logo_mapping"
"POKEMON","ja","smF: Ultra Sun & Ultra Moon Premium Trainer Box","smF","no_jp_set_logo_mapping"
"POKEMON","ja","smE: Solgaleo-GX & Lunala-GX Legendary Starter Set","smE","no_jp_set_logo_mapping"
"POKEMON","ja","smD: Ash vs Team Rocket Deck Kit","smD","no_jp_set_logo_mapping"
"POKEMON","ja","smC: Tapu Bulu-GX Enhanced Starter Set","smC","no_jp_set_logo_mapping"
"POKEMON","ja","smP1: Rockruff Full Power Deck","smP1","no_jp_set_logo_mapping"
"POKEMON","ja","smB: Premium Trainer Box","smB","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","SM0: Pikachu's New Friends","SM0","no_jp_set_logo_mapping"
"POKEMON","ja","SM0: Pikachu's New Friends","SM0","no_jp_set_logo_mapping"
"POKEMON","ja","SM-P: Sun & Moon Promos","SM-P","no_jp_set_logo_mapping"
"POKEMON","ja","XY11-Bb: Fever-Burst Fighter","XY11-Bb","no_jp_set_logo_mapping"
"POKEMON","ja","XY11-Br: Cruel Traitor","XY11-Br","no_jp_set_logo_mapping"
"POKEMON","ja","XYG: Zygarde-EX Perfect Battle Deck","XYG","no_jp_set_logo_mapping"
"POKEMON","ja","XYH: M Audino-EX Mega Battle Deck","XYH","no_jp_set_logo_mapping"
"POKEMON","ja","XYF: Golduck BREAK + Palkia-EX Combo Deck","XYF","no_jp_set_logo_mapping"
"POKEMON","ja","SNP: Noivern BREAK Evolution Pack","SNP","no_jp_set_logo_mapping"
"POKEMON","ja","SNP: Raichu BREAK Evolution Pack","SNP","no_jp_set_logo_mapping"
"POKEMON","ja","XY8-Bb: Blue Shock","XY8-Bb","no_jp_set_logo_mapping"
"POKEMON","ja","XY8-Br: Red Flash","XY8-Br","no_jp_set_logo_mapping"
"POKEMON","ja","M Master Deck Build Box Power Style","MMB","no_jp_set_logo_mapping"
"POKEMON","ja","M Master Deck Build Box Speed Style","MMB","no_jp_set_logo_mapping"
"POKEMON","ja","XYE: Emboar-EX vs Togekiss-EX Deck Kit","XYE","no_jp_set_logo_mapping"
"POKEMON","ja","XYD: M Rayquaza-EX Mega Battle Deck","XYD","no_jp_set_logo_mapping"
"POKEMON_JAPAN","en","XY5-Bg: Gaia Volcano","XY5-Bg","no_jp_set_logo_mapping"
